Date,Open,High,Low,Close,Volume,Change
2018-01-02,19980,20590,19805,20440,13075683,0.03232323232323231
2018-01-03,20660,21290,20410,21085,22555593,0.03155577299412915
2018-01-04,21290,21300,19585,19935,21006176,-0.05454114299264878
2018-01-05,20000,21495,19995,21495,19304063,0.07825432656132425
2018-01-08,21545,22675,21540,22540,27623205,0.04861595719934875
2018-01-09,22620,22985,21900,22170,24604640,-0.016415261756876687
2018-01-10,22430,22685,21280,22290,19763515,0.005412719891745521
2018-01-11,22170,23960,21970,23960,25779637,0.07492148945715571
2018-01-12,24000,27945,24000,26350,39223883,0.09974958263772948
2018-01-15,26450,28000,25485,27905,27098608,0.05901328273244788
2018-01-16,27500,28770,27090,28395,26436152,0.017559577136713855
2018-01-17,28560,28920,26800,26840,32304118,-0.05476316252861424
2018-01-18,27100,27725,26685,27460,21161340,0.023099850968703484
2018-01-19,27685,27830,24920,25465,25832050,-0.07265112891478509
2018-01-22,24865,25425,24000,24830,17427909,-0.024936186923227965
2018-01-23,25500,26565,25115,26565,15985955,0.0698751510269835
2018-01-24,27120,27280,26000,26290,18038503,-0.010351966873705987
2018-01-25,26030,26290,25335,26185,13516762,-0.003993914035754997
2018-01-26,26170,27085,25705,27000,16320812,0.031124689707848097
2018-01-29,26945,28480,26930,28230,15988300,0.04555555555555557
2018-01-30,28395,28725,27750,27805,18655823,-0.015054906128232348
2018-01-31,26750,27645,26560,27015,16248550,-0.028412156087034734
2018-02-01,27145,27510,25900,26000,16430137,-0.037571719415139704
2018-02-02,26035,26300,24800,25840,16757679,-0.006153846153846176
2018-02-05,24600,24955,23055,23055,17896367,-0.1077786377708978
2018-02-06,21215,23545,20855,23520,34115174,0.0201691607026675
2018-02-07,24300,24380,21420,21420,24200043,-0.0892857142857143
2018-02-08,21535,24000,21000,23650,28408984,0.104108309990663
2018-02-09,21950,22745,21785,22000,22219765,-0.06976744186046513
2018-02-12,22590,22735,21925,21925,12627479,-0.003409090909090917
2018-02-13,22385,22520,20800,20800,15225616,-0.05131128848346633
2018-02-14,21075,22070,20655,22070,16242980,0.0610576923076922
2018-02-19,22600,24015,22510,23995,17818881,0.08722247394653371
2018-02-20,23880,24000,22625,22920,16683626,-0.04480100020837674
2018-02-21,23120,23995,22840,23590,18193179,0.029232111692844676
2018-02-22,23160,23460,22750,23310,11904073,-0.011869436201780381
2018-02-23,23700,23780,23315,23600,10625426,0.012441012441012367
2018-02-26,24025,24415,23355,23765,14926597,0.006991525423728717
2018-02-27,24240,24360,23700,23700,11924581,-0.0027351146644224444
2018-02-28,23130,23335,22310,22660,14806612,-0.04388185654008436
2018-03-02,21900,23010,21895,22965,13130564,0.013459841129743966
2018-03-05,22965,23085,22230,22230,10070755,-0.03200522534291317
2018-03-06,22710,23195,22610,23115,9495918,0.03981106612685559
2018-03-07,22940,23430,21950,21970,16601715,-0.04953493402552456
2018-03-08,22355,22885,22195,22720,11770228,0.03413746017296315
2018-03-09,22925,23540,22755,23205,13534647,0.0213468309859155
2018-03-12,23715,24570,23590,24570,13941155,0.05882352941176472
2018-03-13,24500,24640,24090,24490,12581804,-0.0032560032560032814
2018-03-14,24155,24550,24040,24495,7900877,0.00020416496529196415
2018-03-15,24470,25045,24300,24590,12467645,0.003878342518881306
2018-03-16,24655,24855,24525,24760,8998497,0.006913379422529564
2018-03-19,24470,24760,23820,23820,9025269,-0.03796445880452337
2018-03-20,23450,24765,23330,24765,12385053,0.0396725440806045
2018-03-21,24800,25170,24395,24395,16112498,-0.014940440137290567
2018-03-22,24615,24895,23150,23380,15702819,-0.04160688665710188
2018-03-23,22000,22480,20400,20505,26973606,-0.1229683490162532
2018-03-26,20800,22110,20205,22100,22997275,0.07778590587661549
2018-03-27,22445,22500,22005,22100,10772046,0.0
2018-03-28,21400,21795,21000,21640,14679295,-0.020814479638009087
2018-03-29,21800,22790,21760,22790,13697330,0.05314232902033278
2018-03-30,22810,23035,22630,22765,11230257,-0.0010969723562965772
2018-04-02,22925,23040,22360,22400,8285034,-0.016033384581594534
2018-04-03,21860,22795,21805,22795,10833794,0.017633928571428648
2018-04-04,22900,23030,22055,22350,11297692,-0.019521824961614365
2018-04-05,22855,23095,22450,22690,11389886,0.015212527964205913
2018-04-06,22380,22745,22235,22680,7864023,-0.00044072278536799736
2018-04-09,22685,23125,22615,23125,8122988,0.019620811287478057
2018-04-10,23030,23195,22700,23130,9018107,0.00021621621621625842
2018-04-11,23285,23385,23170,23270,7665418,0.006052745352356226
2018-04-12,23350,23400,22700,22700,8509003,-0.02449505801461105
2018-04-13,22800,23290,22460,23120,10943023,0.018502202643171817
2018-04-16,23190,23370,23130,23215,6469615,0.004108996539792464
2018-04-17,23310,23310,22955,23180,4387905,-0.0015076459185870972
2018-04-18,23360,23385,22770,22770,7269692,-0.017687661777394337
2018-04-19,22655,22715,21830,22000,13028715,-0.033816425120772986
2018-04-20,22040,22370,21610,22115,8200793,0.005227272727272636
2018-04-23,21980,22150,21230,21320,9509299,-0.03594845127741353
2018-04-24,21400,21625,20780,20855,7375201,-0.021810506566604104
2018-04-25,20600,21060,20160,20700,10222065,-0.007432270438743727
2018-04-26,20905,21280,20780,21280,7630317,0.02801932367149762
2018-04-27,21605,21870,21300,21870,7119908,0.02772556390977443
2018-04-30,21790,21820,20845,21020,9510334,-0.03886602652034754
2018-05-02,20565,21280,20300,20600,8437860,-0.019980970504281603
2018-05-03,20550,20840,20270,20270,5739815,-0.016019417475728104
2018-05-04,20300,20375,19300,19300,7180560,-0.04785397138628511
2018-05-08,19510,19860,17645,17700,10650750,-0.08290155440414504
2018-05-09,17810,19145,16810,18970,20986724,0.07175141242937855
2018-05-10,18900,19140,18405,18860,9443744,-0.00579862941486553
2018-05-11,18790,19635,18770,19330,9195998,0.02492046659597036
2018-05-14,19295,19380,18450,18460,8183269,-0.0450077599586135
2018-05-15,18735,19060,18505,18910,7202506,0.024377031419285045
2018-05-16,18720,19240,18460,18795,7666083,-0.006081438392384952
2018-05-17,18845,19160,18620,19160,5935713,0.019420058526203876
2018-05-18,19165,19815,19130,19770,7083975,0.03183716075156573
2018-05-21,19725,20125,19570,19700,7431293,-0.0035407182599899167
2018-05-23,19690,19835,19325,19680,5834686,-0.0010152284263958977
2018-05-24,19680,20205,19650,20125,7536058,0.022611788617886264
2018-05-25,19890,20570,19870,20530,7428142,0.02012422360248456
2018-05-28,20390,20725,20220,20660,5834727,0.006332196785192368
2018-05-29,20620,21025,18560,19845,8984498,-0.039448209099709586
2018-05-30,20105,20360,19405,20360,8493867,0.025951121189216497
2018-05-31,20600,20640,20070,20550,5517671,0.009332023575638448
2018-06-01,20510,20920,20450,20655,5132115,0.005109489051094984
