Date,Open,High,Low,Close,Volume,Change
2020-01-02,25681,25767,25461,25675,71651,0.005600814663951015
2020-01-03,25815,26119,25451,25454,125353,-0.008607594936708818
2020-01-06,24986,25533,24936,25344,72697,-0.004321521175453813
2020-01-07,25551,25605,25152,25300,50776,-0.0017361111111111605
2020-01-08,25379,25654,25023,25213,118988,-0.003438735177865637
2020-01-09,25846,26140,25677,26142,84055,0.036846071471066555
2020-01-10,26241,26241,25807,26123,84822,-0.0007267997857853814
2020-01-13,26072,26072,25731,26012,68295,-0.004249129119932582
2020-01-14,26163,26612,26058,26090,105936,0.0029986160233739234
2020-01-15,26010,26010,25631,25656,107323,-0.01663472594863935
2020-01-16,25653,26135,25648,26137,44829,0.01874805113813527
2020-01-17,26363,26525,26323,26388,66788,0.009603244442744074
2020-01-20,26607,26829,26391,26504,68903,0.00439593754737011
2020-01-21,26568,26568,26107,26230,55286,-0.010338062179293672
2020-01-22,26130,26706,26120,26700,67791,0.01791841402973704
2020-01-23,26688,26693,26391,26509,52037,-0.00715355805243445
2020-01-28,25270,25798,25266,25754,155129,-0.02848089328152703
2020-01-29,26087,26087,25707,25806,42332,0.0020191038285315432
2020-01-30,25796,25865,24980,25171,97419,-0.024606680616910848
2020-01-31,25295,25638,24531,24558,108508,-0.024353422589487916
2020-02-03,24046,25125,23974,25007,72187,0.018283247821483828
2020-02-04,25138,25421,24929,25424,87951,0.016675330907345964
2020-02-05,25795,25990,25259,25424,64648,0.0
2020-02-06,25683,25816,25491,25724,43973,0.01179987413467587
2020-02-07,25727,25727,25356,25483,48158,-0.009368682941999662
2020-02-10,25295,25554,25150,25549,37811,0.0025899619354079473
2020-02-11,25827,25846,25607,25763,75999,0.008376061685388958
2020-02-12,25893,26313,25855,26316,63641,0.021464891511081774
2020-02-13,26390,26809,26390,26658,72010,0.0129958960328318
2020-02-14,26617,27137,26554,27139,90834,0.018043364093330405
2020-02-17,27140,27444,26957,27254,56531,0.004237444268396118
2020-02-18,27171,27171,26304,26374,216965,-0.0322888383356571
2020-02-19,26472,26655,25972,26590,92648,0.008189883976643664
2020-02-20,26848,27031,26337,26605,85801,0.000564121850319621
