Date,Open,High,Low,Close,Volume,Change
2018-01-02,13546,13777,13506,13729,8271267,0.014858072146658685
2018-01-03,13803,14020,13731,13953,9279609,0.01631582780974572
2018-01-04,14024,14024,13474,13629,9298281,-0.02322081272844545
2018-01-05,13653,14101,13653,14103,8939064,0.034778780541492305
2018-01-08,14118,14517,14118,14519,13835253,0.02949727008437919
2018-01-09,14516,14664,14290,14388,11544251,-0.009022659962807378
2018-01-10,14416,14582,14090,14407,10494025,0.00132054489852651
2018-01-11,14392,14921,14308,14922,10495577,0.03574651211216762
2018-01-12,14958,16156,14958,15668,14594707,0.04999329848545764
2018-01-15,15752,16165,15425,16167,11084852,0.031848353331631385
2018-01-16,16119,16356,15896,16256,10579997,0.005505041133172517
2018-01-17,16301,16419,15778,15793,11326466,-0.02848179133858264
2018-01-18,15817,16067,15756,16010,15352071,0.013740264674222846
2018-01-19,16063,16100,15243,15404,11145356,-0.03785134291068082
2018-01-22,15248,15395,14955,15181,11549917,-0.014476759283303053
2018-01-23,15303,15802,15303,15807,6602927,0.041235755220341286
2018-01-24,15908,15969,15580,15683,7353738,-0.007844625798696825
2018-01-25,15590,15665,15375,15654,6813032,-0.0018491360071415386
2018-01-26,15613,15897,15500,15874,5099599,0.014053915932030092
2018-01-29,15867,16327,15862,16275,5511012,0.025261433791105015
2018-01-30,16270,16386,16096,16133,7943153,-0.008725038402457752
2018-01-31,15850,16090,15764,15954,7816550,-0.011095270563441395
2018-02-01,15949,16115,15569,15587,8565427,-0.023003635451924298
2018-02-02,15640,15697,15242,15535,10081201,-0.0033361134278565574
2018-02-05,15133,15284,14735,14739,6600997,-0.05123913743160602
2018-02-06,14059,14877,14021,14839,14620196,0.00678472080873882
2018-02-07,14957,15139,14140,14141,8646292,-0.04703821012197584
2018-02-08,14205,15047,14005,14937,10405514,0.05629021992786942
2018-02-09,14270,14587,14270,14368,5884297,-0.03809332529959164
2018-02-12,14587,14612,14331,14335,7891399,-0.002296770601336262
2018-02-13,14503,14551,13959,13962,2889413,-0.02602023020579003
2018-02-14,14082,14453,13945,14454,4788736,0.03523850451224764
2018-02-19,14596,15056,14530,15061,4524040,0.04199529541995295
2018-02-20,15029,15029,14603,14686,5489901,-0.024898745103246744
2018-02-21,14730,15047,14673,14937,3685416,0.017091107176903098
2018-02-22,14816,14871,14641,14816,2245100,-0.00810068956283061
2018-02-23,14934,14981,14841,14910,2380535,0.006344492440604643
2018-02-26,14990,15171,14844,14966,3583245,0.00375586854460086
2018-02-27,15095,15154,14932,14932,4496068,-0.0022718161165308226
2018-02-28,14775,14842,14514,14621,5174184,-0.020827752477899808
2018-03-02,14379,14743,14379,14739,7531454,0.008070583407427723
2018-03-05,14739,14768,14512,14515,4293566,-0.015197774611574788
2018-03-06,14660,14820,14628,14797,2979021,0.019428177747158104
2018-03-07,14791,14886,14384,14388,3928569,-0.02764073798742983
2018-03-08,14508,14730,14498,14645,5619237,0.0178621073116485
2018-03-09,14665,14950,14665,14830,5016930,0.012632297712529938
2018-03-12,14962,15277,14957,15280,5690143,0.030343897505057393
2018-03-13,15228,15292,15118,15231,4866743,-0.0032068062827225186
2018-03-14,15138,15259,15089,15250,2670370,0.0012474558466286645
2018-03-15,15247,15412,15190,15260,4166322,0.0006557377049181135
2018-03-16,15278,15360,15258,15337,2841087,0.005045871559633097
2018-03-19,15217,15331,15038,15042,3018560,-0.019234530873052047
2018-03-20,14927,15345,14897,15347,3114727,0.020276558968222336
2018-03-21,15341,15464,15223,15226,4720278,-0.007884277057405353
2018-03-22,15283,15389,14844,14927,7145759,-0.01963746223564955
2018-03-23,14507,14639,13977,13989,12567501,-0.06283915053259193
2018-03-26,14032,14601,13930,14569,15519187,0.041461148044892315
2018-03-27,14663,14692,14517,14539,6248673,-0.0020591667238657463
2018-03-28,14320,14456,14190,14417,5982102,-0.008391223605474951
2018-03-29,14489,14793,14443,14797,5301804,0.02635777207463419
2018-03-30,14792,14857,14736,14792,5080503,-0.00033790633236463474
2018-04-02,14826,14863,14632,14635,4719885,-0.010613845321795545
2018-04-03,14479,14780,14461,14782,2657957,0.010044414075845554
