Date,Open,High,Low,Close,Volume,Change
2021-05-25,9946,10019,9886,9996,458827,
2021-05-26,10009,10059,9931,9961,289372,-0.003501400560224077
2021-05-27,9984,9984,9821,9941,717195,-0.002007830539102473
2021-05-28,9966,10139,9961,10136,166790,0.019615732823659693
2021-05-31,10139,10139,10011,10071,219267,-0.006412786108918711
2021-06-01,10076,10134,10001,10126,445536,0.005461225300367412
2021-06-02,10149,10174,10061,10106,90746,-0.00197511356903024
2021-06-03,10116,10234,10106,10186,310987,0.007916089451810882
2021-06-04,10206,10273,10121,10246,92271,0.005890437855880615
2021-06-07,10324,10372,10255,10345,107601,0.009662307241850465
2021-06-08,10298,10298,10186,10271,174579,-0.007153214113098105
2021-06-09,10269,10278,10201,10241,649823,-0.0029208450978482903
2021-06-10,10194,10199,10101,10161,132519,-0.00781173713504546
2021-06-11,10205,10367,10165,10335,217384,0.01712429878948929
2021-06-14,10342,10342,10250,10305,263333,-0.002902757619738794
2021-06-15,10344,10372,10284,10345,183467,0.0038816108685104656
2021-06-16,10344,10407,10324,10370,110558,0.0024166263895601947
2021-06-17,10339,10412,10294,10405,142098,0.0033751205400192053
2021-06-18,10456,10549,10407,10518,98944,0.010860163382989008
2021-06-21,10461,10519,10412,10498,173471,-0.0019015021867274662
2021-06-22,10531,10639,10531,10633,211771,0.01285959230329592
2021-06-23,10676,10699,10571,10688,236062,0.005172575942819613
2021-06-24,10694,10814,10631,10663,186396,-0.0023390718562874557
2021-06-25,10774,10779,10676,10703,120132,0.003751289505767641
2021-06-28,10734,10734,10591,10623,184947,-0.007474539848640549
2021-06-29,10649,10679,10576,10633,249385,0.000941353666572553
2021-06-30,10651,10739,10641,10703,174530,0.006583278472679366
2021-07-01,10719,10719,10636,10673,816826,-0.0028029524432402475
2021-07-02,10764,10774,10631,10653,148561,-0.001873887379368555
2021-07-05,10651,10674,10621,10668,169850,0.0014080540692762433
2021-07-06,10696,10734,10696,10723,211499,0.005155605549306275
2021-07-07,10729,10739,10641,10708,806251,-0.0013988622586962318
2021-07-08,10719,10764,10496,10548,149475,-0.014942099364960826
2021-07-09,10377,10601,10332,10603,152905,0.005214258627227908
2021-07-12,10631,10689,10606,10683,91198,0.00754503442421961
2021-07-13,10692,10812,10682,10813,72283,0.012168866423289293
2021-07-14,10762,10950,10762,10943,147338,0.012022565430500398
2021-07-15,10997,11212,10997,11212,210828,0.0245819245179566
2021-07-16,11200,11250,11062,11132,154737,-0.0071352122725650835
2021-07-19,11092,11205,10977,11182,199992,0.004491555874954978
2021-07-20,11076,11181,10913,11043,167621,-0.012430692183866943
2021-07-21,11100,11165,11042,11097,94765,0.004889975550122161
2021-07-22,11160,11175,11042,11112,143557,0.0013517166801837455
2021-07-23,11111,11191,11028,11068,127404,-0.0039596832253420144
2021-07-26,11076,11171,10998,11048,447111,-0.0018070112034694885
2021-07-27,11086,11126,11013,11053,68306,0.00045257060101366875
2021-07-28,11045,11060,10837,10943,83440,-0.009952049217407
2021-07-29,10982,11122,10982,11122,61411,0.01635748880562926
2021-07-30,11121,11121,10928,10963,83174,-0.014295989929868691
2021-08-02,10976,10976,10873,10963,61768,0.0
2021-08-03,10998,11056,10933,11008,133931,0.004104715862446318
2021-08-04,11003,11036,10933,11033,113894,0.0022710755813952765
2021-08-05,11028,11091,10968,11073,74375,0.003625487174839126
2021-08-06,11101,11171,11043,11078,59029,0.0004515488124265943
2021-08-09,11077,11220,10967,11197,64621,0.010742011193356271
2021-08-10,11195,11255,11077,11142,46536,-0.00491203000803786
2021-08-11,11161,11161,10998,11033,64800,-0.009782803805420959
2021-08-12,11052,11275,11052,11212,118813,0.0162240551074051
2021-08-13,11285,11304,10957,11087,252465,-0.011148769175883033
2021-08-17,11079,11079,10661,10713,91366,-0.03373320104627042
2021-08-18,10651,10804,10556,10778,99774,0.006067394754037059
2021-08-19,10734,10789,10491,10493,82826,-0.02644275375765448
2021-08-20,10546,10611,10284,10330,67225,-0.015534165634232378
2021-08-23,10489,10594,10302,10483,103568,0.01481122942884805
2021-08-24,10554,10679,10337,10498,180850,0.0014308881045501654
2021-08-25,10551,10661,10466,10663,38184,0.015717279481806123
2021-08-26,10679,10744,10611,10678,105453,0.0014067335646628099
2021-08-27,10626,10764,10571,10748,67982,0.006555534744334235
2021-08-30,10860,10880,10747,10803,111260,0.005117231112765186
2021-08-31,10903,11036,10778,11028,63877,0.020827547903360166
2021-09-01,11071,11111,10958,10983,61282,-0.004080522306855294
2021-09-02,10984,10989,10736,10758,37161,-0.02048620595465722
2021-09-03,10767,10935,10767,10923,60247,0.015337423312883347
2021-09-06,10923,11076,10923,10988,30047,0.005950746132014961
2021-09-07,11097,11135,11032,11112,86338,0.011285038223516564
2021-09-08,11112,11200,11037,11172,80157,0.005399568034557323
2021-09-09,11260,11275,11087,11162,113289,-0.0008950948800572345
2021-09-10,11182,11235,11077,11207,125268,0.004031535567102562
2021-09-13,11206,11403,11161,11331,1506248,0.011064513250646835
2021-09-14,11339,11646,11329,11585,165681,0.022416379842908896
2021-09-15,11623,11661,11558,11640,42937,0.004747518342684609
2021-09-16,11636,11761,11528,11610,230004,-0.002577319587628857
2021-09-17,11638,11681,11523,11670,86672,0.0051679586563306845
2021-09-23,11543,11681,11513,11640,73590,-0.0025706940874036244
2021-09-24,11723,11956,11703,11859,117207,0.018814432989690655
2021-09-27,11858,11991,11848,11984,126414,0.010540517750231793
2021-09-28,11981,11981,11678,11710,170020,-0.022863818424566085
2021-09-29,11493,11728,11379,11730,142913,0.0017079419299743659
2021-09-30,11621,11621,11434,11545,232792,-0.01577152600170506
2021-10-01,11502,11537,11300,11326,138083,-0.0189692507579039
2021-10-05,11197,11304,11017,11222,74146,-0.009182412149037589
