Date,Open,High,Low,Close,Volume,Change
2022-11-25,9978,10022,9978,9993,496413,
2022-11-28,9898,9898,9794,9814,315553,-0.01791253877714405
2022-11-29,9779,9819,9759,9819,195810,0.0005094762584063606
2022-11-30,9664,9688,9649,9679,337629,-0.014258071086668656
2022-12-01,10137,10147,10088,10123,226892,0.04587250749044314
2022-12-02,10082,10082,10058,10073,237170,-0.004939247258717749
2022-12-05,10072,10072,10028,10028,214407,-0.004467388067110112
2022-12-06,9844,9908,9844,9879,65328,-0.014858396489828452
2022-12-07,9728,9728,9684,9694,208042,-0.01872659176029967
2022-12-08,9663,9663,9589,9624,220198,-0.007220961419434735
2022-12-09,9764,9804,9719,9804,492920,0.018703241895261735
2022-12-12,9689,9698,9664,9689,218298,-0.011729906160750758
2022-12-13,9829,9829,9794,9829,317987,0.014449375580555257
2022-12-14,9913,9972,9913,9958,366656,0.01312442771390776
2022-12-15,9834,9873,9819,9839,161985,-0.011950190801365723
2022-12-16,9523,9543,9494,9514,438000,-0.033031812176034125
2022-12-19,9443,9463,9409,9424,26272,-0.009459743535841891
2022-12-20,9309,9319,9170,9200,34615,-0.02376910016977929
2022-12-21,9290,9354,9290,9325,33244,0.013586956521739024
2022-12-22,9429,9448,9404,9439,267952,0.012225201072386005
2022-12-23,9174,9189,9135,9160,59521,-0.02955821591270258
2022-12-26,9209,9219,9165,9205,163884,0.004912663755458624
2022-12-27,9280,9299,9270,9280,28726,0.008147745790331395
2022-12-28,9075,9084,9050,9075,213049,-0.022090517241379337
2022-12-29,8980,8985,8955,8985,19532,-0.00991735537190086
2023-01-02,9214,9214,9120,9120,11859,0.015025041736226985
2023-01-03,9175,9210,9115,9210,16757,0.009868421052631637
2023-01-04,9120,9149,9110,9145,13230,-0.007057546145494031
2023-01-05,9159,9159,9105,9130,18301,-0.0016402405686167798
2023-01-06,9030,9059,9025,9035,23015,-0.010405257393209189
2023-01-09,9280,9314,9260,9300,38529,0.02933038184836745
2023-01-10,9314,9314,9260,9300,20205,0.0
2023-01-11,9393,9398,9369,9379,31361,0.008494623655914024
2023-01-12,9529,9563,9529,9554,41777,0.01865870561893601
2023-01-13,9598,9603,9549,9559,30038,0.0005233410090015322
2023-01-16,9599,9678,9599,9649,42267,0.009415210796108298
2023-01-17,9643,9648,9589,9609,104740,-0.004145507306456575
2023-01-18,9634,9698,9624,9669,238659,0.0062441461130191556
2023-01-19,9563,9563,9524,9539,33709,-0.013445030509876887
2023-01-20,9474,9494,9449,9494,24386,-0.004717475626375922
2023-01-25,9814,9853,9804,9819,71886,0.03423214661891727
2023-01-26,9879,9943,9879,9939,45679,0.012221203788573165
2023-01-27,9983,10032,9983,10008,43605,0.0069423483247812445
2023-01-30,10142,10172,10108,10108,119616,0.009992006394884179
2023-01-31,9988,9988,9914,9934,34530,-0.017214087851206927
2023-02-01,10082,10092,10063,10073,21599,0.01399234950674444
2023-02-02,10433,10442,10408,10438,122430,0.03623548098878193
2023-02-03,10537,10552,10493,10528,77087,0.008622341444721293
2023-02-06,10477,10487,10438,10453,26849,-0.007123860182370767
2023-02-07,10443,10467,10433,10448,42607,-0.0004783315794508747
2023-02-08,10632,10661,10617,10657,41055,0.02000382848392035
2023-02-09,10463,10508,10463,10508,74580,-0.013981420662475319
2023-02-10,10367,10367,10318,10343,65678,-0.01570232204035016
2023-02-13,10263,10267,10223,10263,32332,-0.007734699796964173
2023-02-14,10448,10458,10433,10458,36126,0.01900029231218947
2023-02-15,10517,10517,10463,10468,25248,0.0009562057754828324
2023-02-16,10627,10666,10627,10647,162688,0.017099732518150557
2023-02-17,10382,10392,10343,10343,81610,-0.028552643937259314
2023-02-20,10328,10363,10313,10363,39006,0.0019336749492411265
2023-02-21,10342,10342,10298,10318,30827,-0.004342371900028952
2023-02-22,10118,10137,10108,10123,158644,-0.018899011436324886
2023-02-23,10168,10202,10158,10193,153593,0.0069149461622048936
2023-02-24,10177,10197,10163,10168,136569,-0.002452663592661608
2023-02-27,10052,10067,10028,10043,240223,-0.01229346970889067
2023-02-28,10113,10142,10103,10113,38061,0.006970028875833867
2023-03-02,10018,10028,9919,9949,50929,-0.016216750716898987
2023-03-03,10053,10077,10043,10068,82444,0.011961001105638802
2023-03-06,10273,10337,10263,10318,158468,0.024831148192292485
2023-03-07,10308,10337,10293,10313,127352,-0.00048459003682888024
2023-03-08,10182,10187,10148,10163,94707,-0.01454474934548633
2023-03-09,10237,10237,10203,10233,37935,0.0068877300009839715
2023-03-10,10037,10042,9988,10003,67445,-0.02247630215967944
2023-03-13,10028,10117,10003,10113,109586,0.010996700989703179
2023-03-14,10013,10057,9993,10013,247302,-0.009888262632255507
2023-03-15,10213,10258,10208,10258,193470,0.02446819135124345
2023-03-16,10273,10317,10273,10298,259112,0.0038993955936830194
2023-03-17,10538,10567,10528,10553,239871,0.024762089726160452
2023-03-20,10537,10547,10448,10448,189238,-0.009949777314507746
2023-03-21,10528,10557,10513,10543,177298,0.009092649310872947
2023-03-22,10672,10686,10657,10682,182071,0.013184103196433705
2023-03-23,10532,10612,10527,10612,184282,-0.006553079947575369
2023-03-24,10652,10676,10622,10672,217521,0.005653976630229929
2023-03-27,10722,10746,10697,10742,195157,0.006559220389805054
2023-03-28,10632,10632,10602,10632,197601,-0.010240178737665251
2023-03-29,10592,10627,10577,10627,116052,-0.0004702784048156161
2023-03-30,10717,10776,10717,10772,215039,0.013644490448856628
2023-03-31,10842,10901,10842,10862,250235,0.008354994430003648
2023-04-03,10991,10991,10947,10962,209431,0.00920640765973113
2023-04-04,10997,11006,10977,11002,181921,0.0036489691662104917
2023-04-05,10977,10991,10962,10977,210987,-0.002272314124704633
2023-04-06,10846,10846,10802,10822,293116,-0.01412043363396187
2023-04-07,10932,10942,10922,10942,174427,0.01108852337830335
2023-04-10,10926,10931,10887,10902,221421,-0.003655638822884333
2023-04-11,10946,10951,10917,10942,159529,0.0036690515501742738
2023-04-12,10802,10871,10802,10842,193723,-0.009139097057210721
2023-04-13,10727,10777,10727,10777,120289,-0.005995203836930418
2023-04-14,10947,10976,10937,10972,84818,0.018094089264173663
2023-04-17,10932,10957,10932,10957,50306,-0.0013671162960262606
2023-04-18,10952,10961,10927,10952,56281,-0.0004563292872136193
2023-04-19,10946,10956,10897,10902,38992,-0.004565376186997816
2023-04-20,10902,10926,10892,10917,92452,0.0013758943313153527
2023-04-21,10872,10891,10867,10877,27165,-0.0036640102592286894
2023-04-24,10866,10866,10822,10827,37316,-0.004596855750666595
2023-04-25,10846,10856,10807,10822,47010,-0.0004618084418582802
2023-04-26,10791,10801,10762,10782,92470,-0.003696174459434487
2023-04-27,10772,10797,10757,10797,62113,0.0013912075681692393
2023-04-28,11001,11011,10982,10982,194457,0.017134389182180243
2023-05-02,11047,11081,11042,11072,91153,0.008195228555818668
2023-05-03,10977,10982,10962,10982,31147,-0.008128612716763017
2023-05-04,10902,10956,10897,10932,87684,-0.004552904753232556
2023-05-08,11066,11081,11057,11062,70762,0.011891694109037676
2023-05-09,11082,11096,11082,11082,89469,0.0018079913216415555
2023-05-10,11037,11046,11022,11042,50679,-0.00360945677675506
2023-05-11,11157,11181,11157,11177,95284,0.012226046006158287
2023-05-12,11191,11220,11191,11216,53556,0.0034893084011808906
2023-05-15,11127,11177,11107,11177,63407,-0.003477175463623361
2023-05-16,11206,11211,11187,11197,49960,0.0017893889236826332
2023-05-17,11241,11255,11236,11241,71333,0.003929624006430377
2023-05-18,11356,11360,11341,11356,71720,0.010230406547460102
2023-05-19,11575,11595,11566,11576,84435,0.01937301866854524
2023-05-22,11565,11565,11516,11541,66502,-0.003023496890117494
2023-05-23,11600,11615,11566,11566,99633,0.002166190104843535
2023-05-24,11435,11440,11396,11416,125601,-0.01296904720733183
2023-05-25,11550,11550,11501,11521,47640,0.009197617379117062
2023-05-26,11626,11646,11601,11646,118764,0.010849752625640141
2023-05-30,12019,12019,11965,12000,90862,0.030396702730551173
2023-05-31,11994,12014,11935,11940,68910,-0.0050000000000000044
2023-06-01,11900,11924,11865,11905,69938,-0.002931323283082099
2023-06-02,12045,12085,12040,12085,88742,0.015119697606047922
2023-06-05,12084,12099,12065,12070,112458,-0.0012412081092263438
2023-06-07,12149,12149,12115,12130,107449,0.004971002485501197
2023-06-08,11924,11929,11860,11870,98607,-0.021434460016488077
2023-06-09,12065,12084,12055,12065,57393,0.016427969671440668
2023-06-12,12115,12150,12115,12150,88809,0.0070451719850808114
2023-06-13,12330,12380,12315,12380,221610,0.018930041152263266
2023-06-14,12404,12404,12375,12390,104452,0.0008077544426494665
2023-06-15,12483,12498,12444,12464,168552,0.005972558514931503
2023-06-16,12619,12624,12569,12624,77571,0.012836970474968012
2023-06-19,12558,12558,12529,12549,177976,-0.0059410646387833
2023-06-20,12528,12538,12494,12509,49483,-0.0031875049804764854
2023-06-21,12543,12548,12509,12519,106877,0.0007994244144216012
2023-06-22,12369,12369,12300,12320,62577,-0.015895838325744815
2023-06-23,12498,12513,12424,12454,54983,0.010876623376623318
2023-06-26,12424,12424,12390,12395,32324,-0.004737433756222931
2023-06-27,12245,12260,12220,12260,66491,-0.010891488503428803
2023-06-28,12380,12389,12355,12385,67070,0.010195758564437218
2023-06-29,12458,12478,12444,12449,46237,0.005167541380702412
2023-06-30,12444,12463,12409,12449,27872,0.0
2023-07-03,12624,12653,12614,12644,449527,0.015663908747690636
2023-07-04,12624,12638,12619,12629,71273,-0.0011863334387851587
2023-07-05,12623,12633,12604,12609,26779,-0.0015836566632354554
2023-07-06,12638,12638,12559,12589,40162,-0.0015861686097231598
2023-07-07,12509,12538,12509,12519,37386,-0.005560409881642747
2023-07-10,12499,12499,12405,12420,36973,-0.00790797987059666
2023-07-11,12489,12539,12479,12539,58794,0.009581320450885666
2023-07-12,12569,12588,12549,12569,100320,0.00239253528989547
2023-07-13,12719,12769,12719,12769,177223,0.015912164850027777
2023-07-14,12929,12949,12889,12949,130283,0.014096640300728325
2023-07-17,12879,12893,12874,12884,183102,-0.0050196926403582864
2023-07-18,13009,13013,12989,13009,121438,0.009701955914312332
2023-07-19,13108,13138,13103,13138,121188,0.009916211853332246
2023-07-20,13024,13063,13019,13049,165209,-0.006774242654894236
2023-07-21,12809,12829,12774,12829,142156,-0.016859529465859446
2023-07-24,12794,12803,12769,12794,45386,-0.002728193935614631
2023-07-25,12804,12819,12784,12819,107130,0.0019540409566984884
2023-07-26,12869,12888,12854,12879,85857,0.004680552305172059
2023-07-27,12874,12933,12859,12924,133123,0.0034940600978337066
2023-07-28,12829,12893,12794,12884,106486,-0.003095017022593627
2023-07-31,13078,13078,12994,13039,159563,0.012030425333747319
2023-08-01,13049,13068,13034,13049,104899,0.0007669299792929518
2023-08-02,12968,12993,12919,12919,110050,-0.009962449229826031
2023-08-03,12758,12773,12714,12734,108998,-0.014319993807570208
2023-08-04,12744,12823,12739,12819,154917,0.006675043191455954
2023-08-07,12704,12728,12684,12709,95616,-0.00858101255948207
2023-08-08,12753,12768,12694,12704,45029,-0.0003934219844204945
2023-08-09,12639,12693,12639,12674,84451,-0.002361460957178818
2023-08-10,12539,12568,12529,12564,110958,-0.008679185734574713
2023-08-11,12558,12583,12524,12544,69985,-0.0015918497293855305
2023-08-14,12469,12489,12390,12435,159732,-0.008689413265306145
2023-08-16,12464,12483,12439,12464,75132,0.0023321270607157274
2023-08-17,12320,12339,12285,12335,90861,-0.010349807445442893
2023-08-18,12180,12209,12160,12185,75679,-0.012160518848804203
2023-08-21,12199,12209,12145,12170,49892,-0.0012310217480508978
2023-08-22,12345,12385,12340,12385,109010,0.01766639276910431
2023-08-23,12370,12420,12365,12420,71599,0.0028259991925716488
2023-08-24,12669,12728,12654,12714,269852,0.023671497584541124
2023-08-25,12259,13088,12235,12235,281415,-0.037675003932672646
2023-08-28,12395,12409,12375,12405,51638,0.01389456477319162
2023-08-29,12484,12503,12444,12494,62171,0.007174526400644865
2023-08-30,12734,12783,12734,12749,168513,0.02040979670241727
2023-08-31,12788,12823,12784,12784,77944,0.002745313357910506
2023-09-01,12819,12843,12819,12819,110329,0.0027377972465580935
2023-09-04,12814,12844,12804,12844,60367,0.001950230127155006
2023-09-05,12808,12813,12789,12789,61695,-0.004282155091871687
2023-09-06,12828,12838,12799,12814,109842,0.001954804910469843
2023-09-07,12723,12723,12664,12664,77994,-0.011705946620883423
2023-09-08,12634,12678,12599,12669,73295,0.00039481996209733694
2023-09-11,12669,12954,12644,12954,50427,0.022495856026521377
2023-09-12,12779,12799,12764,12799,118069,-0.011965416087694969
2023-09-13,12658,12658,12619,12634,71151,-0.012891632158762434
2023-09-14,12699,12768,12699,12744,72510,0.008706664555960142
2023-09-15,12804,12838,12794,12819,62358,0.005885122410546062
2023-09-18,12593,12598,12574,12589,74944,-0.017942117169826077
2023-09-19,12608,12613,12564,12569,64074,-0.0015886885376121818
2023-09-20,12573,12573,12534,12569,95377,0.0
2023-09-21,12340,12369,12320,12340,674718,-0.018219428753281863
2023-09-22,12135,12199,12135,12195,138429,-0.011750405186385704
2023-09-25,12185,12209,12165,12195,89726,0.0
2023-09-26,12214,12214,12135,12140,62931,-0.0045100451004510544
2023-09-27,12039,12069,11900,11900,235659,-0.01976935749588138
2023-10-04,12039,12054,11945,11950,114458,0.004201680672268893
2023-10-05,12219,12244,12195,12205,247798,0.021338912133891164
