Date,Open,High,Low,Close,Volume,Change
2020-01-02,12329,12329,12137,12140,30,-0.015808674503445475
2020-01-03,12029,12070,12029,12033,58,-0.008813838550247088
2020-01-06,12040,12054,11989,12010,103,-0.001911410288373605
2020-01-07,12034,12099,12034,12102,212,0.007660283097418841
2020-01-08,11883,11883,11883,11886,1,-0.01784828953891915
2020-01-09,11883,11883,11883,11886,5,0.0
2020-01-10,11907,11943,11867,11912,240,0.0021874474171295066
2020-01-13,11908,12005,11908,12007,151,0.0079751511081263
2020-01-14,12039,12102,12017,12049,530,0.003497959523611316
2020-01-15,12048,12048,12048,12049,9,0.0
2020-01-16,12173,12173,12173,12176,1,0.010540293800315403
2020-01-17,12173,12173,12155,12176,630,0.0
2020-01-20,12166,12166,12130,12132,346,-0.0036136662286465615
2020-01-21,12038,12038,12038,12040,1,-0.007583250906693095
2020-01-22,12082,12082,12082,12085,21,0.003737541528239241
2020-01-23,12544,12544,12507,12519,591,0.03591228796028134
2020-01-28,12310,12310,12133,12136,869,-0.030593497883217524
2020-01-29,12136,12136,12064,12089,286,-0.0038727752142386773
2020-01-30,12062,12062,11969,11971,805,-0.009760939697245452
2020-01-31,11870,11870,11704,11707,805,-0.022053295464038114
2020-02-03,11460,11614,11434,11617,83,-0.007687708208763966
2020-02-04,11661,11661,11661,11665,1,0.004131875699405985
2020-02-05,11603,11650,11598,11629,1376,-0.0030861551650235297
2020-02-06,11795,12119,11795,12111,909,0.0414481038782355
2020-02-07,11947,11978,11895,11948,1950,-0.013458839071918138
2020-02-10,11945,11960,11935,11953,2579,0.0004184800803481714
2020-02-11,12068,12184,12068,12171,2,0.01823809922195263
2020-02-12,12262,12385,12262,12388,2224,0.01782926628871917
2020-02-13,12278,12278,12278,12281,75,-0.008637391023571195
2020-02-14,12112,12227,12112,12194,144,-0.007084113671525172
2020-02-17,11998,12104,11998,12106,364,-0.007216663933081846
2020-02-18,12076,12076,11938,11942,2618,-0.01354700148686605
2020-02-19,12022,12022,11863,11868,1058,-0.006196616982080072
2020-02-20,11741,11741,11722,11725,907,-0.012049207954162422
2020-02-21,11644,11644,11543,11547,215,-0.015181236673774023
2020-02-24,11261,11261,11115,11118,228,-0.037152507144712965
2020-02-25,11202,11263,11098,11173,514,0.0049469329016009755
2020-02-26,11083,11119,11039,11121,42,-0.004654076792267037
2020-02-27,11085,11085,11036,11039,308,-0.007373437640499914
2020-02-28,10938,10938,10596,10614,430,-0.03849986411812667
2020-03-02,10562,10660,10465,10587,3919,-0.0025438100621820725
2020-03-03,10726,10747,10557,10614,24219,0.0025502975347124757
2020-03-04,10697,10697,10697,10699,623,0.008008290936498907
2020-03-05,10759,10853,10759,10839,1107,0.013085335078044658
2020-03-06,10649,10649,10505,10506,173,-0.030722391364517043
2020-03-09,10354,10354,10064,10085,1865,-0.040072339615457864
2020-03-10,10029,10102,9952,10006,12950,-0.007833415964303425
2020-03-11,10002,10024,9864,9868,140,-0.013791724965021013
2020-03-12,9843,9860,9324,9327,10423,-0.05482367247669229
2020-03-13,8613,8948,8538,8950,4893,-0.04042028519352414
2020-03-16,9008,9008,8659,8663,1280,-0.03206703910614528
2020-03-17,8342,8480,8125,8450,11382,-0.024587325406902893
2020-03-18,8401,8401,7908,7911,261,-0.06378698224852075
2020-03-19,7769,7769,7102,7106,147,-0.1017570471495386
2020-03-20,7204,7467,7035,7470,961,0.05122431747818745
2020-03-23,7018,7153,7010,7102,170,-0.04926372155287817
2020-03-24,7257,7427,7257,7430,129,0.046184173472261225
2020-03-25,7931,8407,7931,8408,2482,0.131628532974428
2020-03-26,8438,8664,8372,8373,135,-0.004162702188391987
2020-03-27,8733,8746,8307,8499,2754,0.015048369759942615
2020-03-30,8162,8342,8041,8345,1847,-0.018119778797505592
2020-03-31,8463,8550,8375,8554,1032,0.025044937088076757
2020-04-01,8506,8506,8461,8463,571,-0.010638297872340385
2020-04-02,8296,8376,8148,8377,178,-0.010161881129623018
2020-04-03,8273,8282,8223,8241,818,-0.016234928972185703
2020-04-06,8321,8484,8321,8485,387,0.029608057274602695
2020-04-07,8908,8918,8729,8915,3060,0.05067766647024152
2020-04-08,8838,9035,8807,8881,457,-0.003813796971396499
2020-04-09,8979,9280,8979,9283,3112,0.04526517284089637
2020-04-10,9361,9472,9352,9465,547,0.019605730905957186
2020-04-13,9345,9345,9199,9201,1129,-0.027892234548336003
2020-04-14,9274,9369,9274,9327,911,0.013694163677861138
2020-04-16,9110,9280,9105,9283,802,-0.00471748686608775
2020-04-17,9430,9564,9430,9491,1075,0.022406549606808213
2020-04-20,9396,9538,9375,9413,826,-0.00821831208513324
2020-04-21,9250,9250,9056,9244,1766,-0.017953893551471367
2020-04-22,9061,9240,8882,9244,411,0.0
2020-04-23,9293,9338,9241,9305,810,0.0065988749459109375
2020-04-24,9233,9233,9042,9082,643,-0.023965609887157457
2020-04-27,9153,9290,9065,9249,210,0.018388020259854754
2020-04-28,9285,9419,9263,9422,312,0.018704724835117315
2020-04-29,9471,9538,9471,9542,266,0.012736149437486688
2020-05-04,9348,9348,9236,9294,520,-0.025990358415426518
2020-05-06,9419,9419,9347,9350,210,0.006025392726490164
2020-05-07,9352,9357,9321,9360,320,0.0010695187165774556
2020-05-08,9462,9624,9462,9590,90,0.024572649572649485
2020-05-11,9584,9584,9484,9487,141,-0.010740354535974994
2020-05-12,9271,9300,9256,9272,449,-0.02266259091388212
2020-05-13,9219,9309,9219,9310,537,0.004098360655737654
2020-05-14,9254,9254,9179,9200,398,-0.011815252416756183
2020-05-15,9076,9179,9076,9181,2248,-0.002065217391304386
2020-05-18,9179,9224,9174,9227,18,0.005010347456704034
2020-05-19,9620,9795,9603,9797,935,0.061775224883494184
2020-05-20,9676,9753,9676,9745,1800,-0.005307747269572283
2020-05-21,9805,9822,9727,9788,255,0.004412519240636126
2020-05-22,9675,9702,9530,9582,6240,-0.021046178994687414
2020-05-25,9582,9642,9502,9643,460,0.006366103109997967
2020-05-26,9872,9940,9872,9942,9910,0.0310069480452142
2020-05-27,9940,10000,9932,10001,115,0.00593441963387642
2020-05-28,9929,9929,9792,9819,472,-0.018198180181981827
