Date,Open,High,Low,Close,Volume,Change
2018-01-02,17730,17880,17655,17800,7913541,0.008498583569405138
2018-01-03,17930,18055,17860,17925,7838943,0.0070224719101124045
2018-01-04,18125,18150,17645,17665,12928940,-0.014504881450488116
2018-01-05,17750,18110,17750,18110,9481613,0.025191055759977266
2018-01-08,18280,18440,18085,18360,15383829,0.013804527885146411
2018-01-09,18295,18525,18090,18255,12909095,-0.005718954248365993
2018-01-10,18345,18360,17940,17990,10290704,-0.01451657080251989
2018-01-11,17950,18020,17725,17815,10105372,-0.009727626459143934
2018-01-12,17930,17970,17635,17890,11544928,0.0042099354476565765
2018-01-15,18060,18130,17850,17955,8489742,0.0036333147009501854
2018-01-16,17940,18295,17880,18250,10192757,0.016429963798384906
2018-01-17,18160,18255,18035,18145,8119894,-0.005753424657534256
2018-01-18,18335,18440,18100,18140,11372208,-0.00027555800496004146
2018-01-19,18195,18280,18105,18175,5732070,0.0019294377067253787
2018-01-22,18120,18135,17650,17805,11511571,-0.020357634112792344
2018-01-23,17950,18295,17920,18295,10238049,0.027520359449592746
2018-01-24,18260,18515,18260,18355,10660803,0.0032795845859523443
2018-01-25,18295,18720,18285,18690,19058352,0.01825115772269137
2018-01-26,18655,18805,18565,18805,10316275,0.006153023006955527
2018-01-29,18975,19240,18975,19095,21863999,0.015421430470619502
2018-01-30,19005,19105,18595,18605,14410796,-0.025661167844985622
2018-01-31,18430,19135,18425,18680,20387453,0.004031174415479732
2018-02-01,18735,18825,18540,18610,11695148,-0.0037473233404711204
2018-02-02,18505,18540,17815,17905,28679117,-0.037882858678130016
2018-02-05,17410,17595,17225,17495,22071553,-0.02289863166713213
2018-02-06,16805,17045,16340,16945,41553240,-0.03143755358673905
2018-02-07,17215,17295,16110,16120,32122967,-0.04868692829743282
2018-02-08,16170,16505,16035,16370,26091147,0.015508684863523525
2018-02-09,15320,15665,15275,15540,30251675,-0.050702504581551566
2018-02-12,15720,16000,15540,15870,18267176,0.021235521235521304
2018-02-13,16100,16465,15950,16120,24014804,0.015752993068683052
2018-02-14,16300,16595,16300,16505,13907470,0.023883374689826375
2018-02-19,16905,16965,16505,16700,18754612,0.011814601635868005
2018-02-20,16575,16605,16240,16270,12291940,-0.02574850299401199
2018-02-21,16320,16530,16090,16475,12357472,0.012599877074370047
2018-02-22,16285,16350,16110,16265,9026019,-0.012746585735963545
2018-02-23,16370,16740,16370,16740,13381348,0.029203811865969875
2018-02-26,16865,16920,16665,16785,10400985,0.0026881720430107503
2018-02-27,16970,17140,16710,16710,13408874,-0.0044682752457551045
2018-02-28,16610,16755,16275,16290,13204995,-0.025134649910233398
2018-03-02,15945,16010,15670,15855,23767405,-0.026703499079189674
2018-03-05,15775,15865,15405,15425,19884736,-0.027120782087669548
2018-03-06,15730,16055,15675,16045,14334983,0.040194489465154026
2018-03-07,16100,16400,15885,16070,18816781,0.0015581177937051827
2018-03-08,16315,16390,16120,16390,12631481,0.01991288114499068
2018-03-09,16555,17050,16450,16765,27145068,0.02287980475899931
2018-03-12,17105,17195,16950,17080,17628997,0.018789144050104456
2018-03-13,17070,17255,17020,17255,14802994,0.010245901639344357
2018-03-14,17000,17220,17000,17215,12442515,-0.0023181686467690366
2018-03-15,17240,17360,16975,17335,17378534,0.006970665117630004
2018-03-16,17280,17350,17025,17255,16031335,-0.004614940871070061
2018-03-19,17250,17275,16955,17015,14679351,-0.01390901188061433
2018-03-20,16785,17165,16755,17165,11253365,0.00881575080811059
2018-03-21,17185,17295,17135,17190,9529620,0.0014564520827264893
