Date,Open,High,Low,Close,Volume,Change
2020-09-29,10099,10099,10021,10063,245974,
2020-10-05,10075,10198,10040,10172,256078,0.01083175991255092
2020-10-06,10209,10252,10164,10226,225178,0.005308690523004422
2020-10-07,10164,10309,10134,10311,170807,0.008312145511441438
2020-10-08,10387,10397,10284,10316,187497,0.0004849190185238772
2020-10-12,10357,10372,10299,10351,174470,0.0033927879022876972
2020-10-13,10412,10417,10274,10356,322147,0.0004830451164139493
2020-10-14,10362,10362,10214,10251,166515,-0.01013904982618774
2020-10-15,10239,10239,10096,10153,284333,-0.009560042922641676
2020-10-16,10144,10159,9986,10078,350579,-0.007386979217965162
2020-10-19,10114,10119,10036,10043,500625,-0.0034729112919229532
2020-10-20,9976,10109,9931,10108,359720,0.006472169670417305
2020-10-21,10121,10134,10081,10133,362094,0.0024732884843687852
2020-10-22,10069,10069,9986,10058,360750,-0.007401559261817847
2020-10-23,10099,10099,9981,10058,360957,0.0
2020-10-26,10074,10074,9976,9988,367490,-0.0069596341220918845
2020-10-27,9901,10019,9901,9958,298172,-0.003003604325190201
2020-10-28,9926,10016,9891,10018,335923,0.006025306286402854
2020-10-29,9886,9981,9846,9983,319558,-0.003493711319624726
2020-10-30,9959,9959,9696,9699,305259,-0.028448362215766854
2020-11-02,9731,9814,9696,9809,205105,0.011341375399525733
2020-11-03,9881,9996,9876,9998,246578,0.019268019166071904
2020-11-04,10091,10144,10011,10093,411030,0.009501900380076034
2020-11-05,10209,10327,10194,10326,466845,0.023085306648171988
2020-11-06,10387,10392,10294,10316,485868,-0.0009684292078249168
2020-11-09,10409,10492,10404,10436,472978,0.011632415664986517
2020-11-10,10507,10507,10374,10426,286223,-0.0009582215408202588
2020-11-11,10460,10560,10435,10561,409411,0.012948398235181235
2020-11-12,10583,10583,10485,10521,407113,-0.0037875201212006493
2020-11-13,10505,10590,10470,10591,418860,0.006653359946773074
2020-11-16,10705,10828,10685,10801,430476,0.019828155981493678
2020-11-17,10848,10848,10755,10796,236360,-0.0004629200999907157
2020-11-18,10808,10818,10775,10796,362405,0.0
2020-11-19,10780,10800,10715,10801,315708,0.0004631344942571669
2020-11-20,10791,10849,10776,10846,427145,0.004166280899916774
2020-11-23,10886,11049,10841,11031,205986,0.01705697953162466
2020-11-24,11116,11169,11076,11126,300886,0.008612093191913806
2020-11-25,11219,11219,10966,11046,236335,-0.007190364911019209
2020-11-26,11001,11124,11001,11116,295805,0.006337135614702172
2020-11-27,11151,11186,11126,11186,186234,0.006297229219143663
2020-11-30,11194,11209,11021,11021,84879,-0.01475058108349725
2020-12-01,11111,11214,11111,11206,9537,0.016786135559386572
2020-12-02,11266,11375,11261,11376,13892,0.015170444404783101
2020-12-03,11405,11445,11335,11446,7100,0.0061533052039381975
2020-12-04,11530,11622,11510,11566,7624,0.010484011881880084
2020-12-07,11666,11666,11494,11605,3828,0.003371952273906187
2020-12-08,11607,11607,11455,11471,5997,-0.011546747091770837
2020-12-09,11489,11708,11489,11710,3243,0.020835149507453687
2020-12-10,11594,11746,11539,11670,2588,-0.0034158838599487318
2020-12-11,11768,11786,11713,11775,2087,0.008997429305912519
2020-12-14,11801,11801,11728,11745,6074,-0.002547770700636942
2020-12-15,11786,11786,11658,11725,6806,-0.001702852277564948
2020-12-16,11793,11816,11733,11810,4516,0.0072494669509595155
2020-12-17,11821,11821,11673,11810,3846,0.0
2020-12-18,11831,11831,11728,11810,14250,0.0
2020-12-21,11831,11831,11688,11815,6391,0.00042337002540215884
2020-12-22,11786,11786,11623,11645,2757,-0.014388489208633115
2020-12-23,11693,11811,11534,11810,2186,0.0141691713181622
2020-12-24,11863,12020,11863,11975,5753,0.013971210838272574
2020-12-28,12059,12144,11997,12014,7008,0.003256784968684867
2020-12-29,12269,12269,12136,12214,6557,0.016647244880972245
2020-12-30,12211,12465,12206,12464,2227,0.020468315048305152
2021-01-04,12560,12798,12475,12762,12497,0.02390885750962779
2021-01-05,12705,12920,12690,12921,19735,0.012458862247296754
2021-01-06,13033,13113,12820,12841,13821,-0.006191471248355396
2021-01-07,13040,13253,12980,13171,17479,0.025698933104898458
2021-01-08,13401,13725,13336,13726,40105,0.04213803052160059
2021-01-11,13869,14177,13416,13721,36606,-0.0003642721841760066
2021-01-12,13626,13704,13221,13626,35117,-0.0069236936083375555
2021-01-13,13641,13759,13491,13711,25829,0.006238074269778293
2021-01-14,13636,13729,13596,13706,30702,-0.000364670702355796
2021-01-15,13784,13859,13391,13436,9477,-0.019699401721873677
2021-01-18,13233,13383,13065,13106,5599,-0.024560881214647168
2021-01-19,13111,13514,13096,13421,8740,0.024034793224477324
2021-01-20,13719,13719,13401,13541,3213,0.00894121153416294
2021-01-21,13651,13756,13576,13756,7824,0.015877704748541444
2021-01-22,13809,13809,13676,13676,3439,-0.005815644082582172
2021-01-25,13775,13939,13600,13940,4457,0.019303890026323378
2021-01-26,13983,13983,13666,13706,2405,-0.016786226685796324
2021-01-27,13774,13864,13605,13606,3378,-0.007296074711805045
2021-01-28,13311,13519,13281,13396,22419,-0.015434367190945153
2021-01-29,13553,13553,12925,13016,12681,-0.028366676619886566
2021-02-01,12986,13330,12906,13331,7601,0.024200983405039844
