Date,Open,High,Low,Close,Volume,Change
2018-01-02,27928,28006,27841,27953,5177860,0.004419690980955737
2018-01-03,28062,28143,27991,28069,7484355,0.004149822917039359
2018-01-04,28225,28239,27840,27851,9201160,-0.007766575225337524
2018-01-05,27915,28219,27915,28229,8383241,0.013572223618541601
2018-01-08,28336,28448,28174,28417,8281804,0.006659817917744171
2018-01-09,28323,28530,28172,28306,8226882,-0.003906112538269335
2018-01-10,28371,28386,28075,28120,10881206,-0.006571045008125442
2018-01-11,28095,28137,27910,27978,4968244,-0.00504978662873401
2018-01-12,28029,28087,27826,28029,5616229,0.0018228608192150109
2018-01-15,28158,28218,27999,28093,8786633,0.002283349388133793
2018-01-16,28080,28353,28024,28313,6417919,0.007831132310540001
2018-01-17,28245,28319,28154,28246,7092790,-0.002366404125313415
2018-01-18,28398,28473,28205,28269,9972943,0.0008142745875521218
2018-01-19,28289,28352,28222,28289,6045238,0.000707488768615816
2018-01-22,28248,28248,27860,28000,5306216,-0.010215985011842066
2018-01-23,28105,28364,28073,28375,12386395,0.013392857142857206
2018-01-24,28356,28527,28340,28422,9349921,0.0016563876651982667
2018-01-25,28355,28682,28355,28644,11319379,0.007810850749419451
2018-01-26,28627,28750,28562,28757,7977987,0.003944979751431266
2018-01-29,28893,29100,28885,28954,13056997,0.006850505963765352
2018-01-30,28921,28983,28587,28595,18726385,-0.012398977688747648
2018-01-31,28483,29022,28483,28614,21283611,0.0006644518272425071
2018-02-01,28721,28772,28557,28623,5136888,0.00031453134829106943
2018-02-02,28535,28560,28005,28069,14014529,-0.019355064109282782
2018-02-05,27707,27842,27542,27775,17738835,-0.01047418860664795
2018-02-06,27192,27412,26867,27381,19716836,-0.014185418541854178
2018-02-07,27614,27624,26669,26686,11556729,-0.02538256455206167
2018-02-08,26678,26989,26609,26912,13288378,0.008468860076444651
2018-02-09,26596,26646,26057,26201,17872897,-0.02641944114149819
2018-02-12,26309,26592,26206,26492,16773025,0.011106446318842833
2018-02-13,26661,26989,26554,26695,10839628,0.007662690623584378
2018-02-14,26852,27098,26848,27044,6248801,0.013073609290129129
2018-02-19,27391,27401,27007,27180,11794248,0.005028841887294799
2018-02-20,27087,27101,26802,26870,5892841,-0.011405445180279639
