Date,Open,High,Low,Close,Volume,Change
2021-08-05,10010,10010,9865,9885,31821,
2021-08-06,9885,9885,9825,9835,28888,-0.005058168942842722
2021-08-09,9850,9885,9830,9860,25829,0.002541942043721379
2021-08-10,9970,10085,9970,10085,35862,0.022819472616632863
2021-08-11,10260,10380,10120,10120,50947,0.003470500743678828
2021-08-12,10170,10235,10135,10185,37968,0.006422924901185789
2021-08-13,10185,10255,10185,10225,33744,0.003927344133529687
2021-08-17,10225,10320,9780,9780,193199,-0.04352078239608803
2021-08-18,9725,9725,9600,9600,170615,-0.018404907975460127
2021-08-19,9615,9670,9545,9545,174863,-0.005729166666666674
2021-08-20,9405,9500,9380,9420,146376,-0.013095861707700385
2021-08-23,9675,9675,9580,9650,110097,0.02441613588110414
2021-08-24,9820,9820,9700,9720,30158,0.007253886010362587
2021-08-25,9870,9920,9800,9870,148833,0.015432098765432167
2021-08-26,9965,10010,9925,10000,165150,0.01317122593718345
2021-08-27,9920,9945,9895,9905,175755,-0.009499999999999953
2021-08-30,9930,10080,9930,10080,149292,0.0176678445229681
2021-08-31,10000,10035,9930,9970,156929,-0.010912698412698374
2021-09-01,10005,10055,9980,10020,155565,0.005015045135406293
2021-09-02,10050,10115,9990,10115,179050,0.00948103792415167
2021-09-03,10195,10205,10120,10185,163466,0.006920415224913601
2021-09-06,10100,10100,10045,10075,210178,-0.010800196367206638
2021-09-07,10075,10090,10070,10085,216885,0.0009925558312655625
2021-09-08,10020,10175,10020,10135,195556,0.0049578582052554054
2021-09-09,10010,10055,10000,10050,218729,-0.008386778490379831
2021-09-10,10085,10230,10085,10200,57837,0.014925373134328401
2021-09-13,10085,10130,10080,10110,230562,-0.008823529411764675
2021-09-14,10205,10220,10150,10200,78110,0.008902077151335286
2021-09-15,10040,10045,9965,9990,252945,-0.020588235294117685
2021-09-16,10065,10075,10000,10030,219380,0.004004004004003914
2021-09-17,10035,10100,9970,10055,198310,0.002492522432701927
2021-09-23,10035,10155,10020,10100,256225,0.004475385380407815
2021-09-24,10100,10185,10025,10130,150992,0.002970297029702973
2021-09-27,10105,10140,10035,10100,232026,-0.0029615004935834577
2021-09-28,10260,10390,10260,10355,203682,0.02524752475247527
2021-09-29,10050,10130,10035,10085,233110,-0.026074360212457792
2021-09-30,10020,10135,9990,10135,348926,0.0049578582052554054
2021-10-01,10025,10065,9910,9915,290534,-0.021706956092747864
2021-10-05,9915,9950,9850,9905,169391,-0.0010085728693898233
2021-10-06,9915,10000,9915,9935,229797,0.003028773346794633
2021-10-07,9975,10040,9960,10040,268617,0.010568696527428312
2021-10-08,10160,10290,10155,10270,286275,0.02290836653386452
2021-10-12,10335,10425,10320,10330,324506,0.0058422590068158975
2021-10-13,10510,10530,10330,10455,309718,0.012100677637947754
2021-10-14,10570,10700,10545,10600,577527,0.013868962219033998
2021-10-15,10640,10640,10560,10600,332704,0.0
2021-10-18,10470,10610,10470,10585,336258,-0.0014150943396226134
2021-10-19,10645,10760,10585,10715,264469,0.01228153046764291
2021-10-20,10810,10870,10715,10825,393742,0.010265982267848806
2021-10-21,10795,10800,10730,10735,81074,-0.008314087759815236
2021-10-22,10895,10955,10785,10820,123605,0.007918025151373964
2021-10-25,10800,10830,10730,10730,130147,-0.008317929759704246
2021-10-26,11055,11085,10935,11025,156309,0.027493010251630867
2021-10-27,10930,10960,10825,10930,175029,-0.008616780045351491
2021-10-28,10905,10930,10850,10915,220336,-0.0013723696248856276
2021-10-29,11150,11285,11080,11205,190742,0.02656894182317915
2021-11-01,11355,11575,11205,11515,386651,0.027666220437304823
2021-11-02,11665,11815,11550,11770,604975,0.02214502822405562
2021-11-03,11685,11780,11655,11750,787099,-0.001699235344095107
2021-11-04,11735,11845,11685,11710,707346,-0.0034042553191488967
2021-11-05,11810,11835,11710,11805,610467,0.008112724167378405
2021-11-08,11770,11790,11705,11740,349006,-0.005506141465480674
2021-11-09,11925,11935,11805,11925,538238,0.015758091993185674
2021-11-10,11645,11700,11550,11655,703870,-0.02264150943396226
2021-11-11,11570,11575,11500,11530,388861,-0.010725010725010753
2021-11-12,11750,11760,11665,11685,326746,0.013443191673894184
2021-11-15,11685,11685,11560,11585,287387,-0.00855798031664523
2021-11-16,11555,11565,11465,11500,304536,-0.007337073802330618
2021-11-17,11565,11605,11545,11570,279626,0.006086956521739184
2021-11-18,11500,11515,11400,11505,204286,-0.005617977528089901
2021-11-19,11310,11415,11310,11405,218033,-0.008691873098652714
