Date,Open,High,Low,Close,Volume,Change
2021-07-30,9438,9438,9278,9278,95545,
2021-08-02,9309,9397,9275,9395,166767,0.012610476395775061
2021-08-03,9436,9454,9373,9456,212378,0.006492815327301837
2021-08-04,9497,9554,9432,9532,65843,0.008037225042301088
2021-08-05,9573,9648,9549,9579,167485,0.004930759546789787
2021-08-06,9629,9629,9516,9542,242559,-0.0038626161394718084
2021-08-09,9497,9539,9454,9522,160348,-0.0020959966464053625
2021-08-10,9559,9563,9493,9542,199909,0.0021003990758243773
2021-08-11,9524,9554,9477,9517,26643,-0.0026199958080067587
2021-08-12,9526,9592,9498,9556,25781,0.004097930019964169
2021-08-13,9550,9560,9433,9504,43545,-0.005441607367099199
2021-08-17,9493,9512,9366,9391,248676,-0.011889730639730645
2021-08-18,9436,9469,9332,9433,177788,0.004472367160046842
2021-08-19,9374,9454,9286,9301,182144,-0.013993427329587638
2021-08-20,9340,9377,9198,9239,62934,-0.0066659498978604015
2021-08-23,9265,9368,9218,9324,197872,0.009200129884186614
2021-08-24,9370,9374,9224,9306,187004,-0.0019305019305019266
2021-08-25,9321,9351,9227,9310,182718,0.00042983021706421987
2021-08-26,9315,9362,9216,9264,195308,-0.004940923737916214
2021-08-27,9224,9268,9158,9268,161413,0.00043177892918833116
2021-08-30,9366,9366,9234,9283,171429,0.001618472162278728
2021-08-31,9289,9439,9236,9441,204469,0.01702035979747918
2021-09-01,9472,9486,9401,9441,166697,0.0
2021-09-02,9423,9423,9276,9301,213158,-0.014828937612541004
2021-09-03,9342,9393,9323,9391,192376,0.009676378883990866
2021-09-06,9375,9405,9357,9405,215654,0.0014907890533488732
2021-09-07,9412,9412,9321,9376,195537,-0.0030834662413610214
2021-09-08,9313,9317,9129,9159,251938,-0.023144197952218448
2021-09-09,9082,9082,8914,8939,236292,-0.024020089529424582
2021-09-10,8904,8998,8899,8953,207352,0.001566170712607784
2021-09-13,8875,8929,8767,8807,24434,-0.016307383000111697
2021-09-14,8819,8941,8795,8892,17552,0.009651413648234408
2021-09-15,8881,8990,8881,8925,19276,0.003711201079622084
2021-09-16,8909,8938,8753,8783,31468,-0.015910364145658273
2021-09-17,8805,8852,8715,8821,9372,0.004326539906637894
2021-09-23,8800,8879,8772,8868,27600,0.005328194082303561
2021-09-24,8879,8899,8847,8868,11778,0.0
2021-09-27,8866,8908,8846,8882,26782,0.0015787099684259065
2021-09-28,8878,8878,8728,8735,11839,-0.01655032650303989
2021-09-29,8644,8653,8521,8632,24396,-0.011791642816256442
2021-09-30,8593,8679,8555,8680,9447,0.005560704355885182
2021-10-01,8611,8645,8480,8486,15577,-0.022350230414746597
2021-10-05,8397,8397,8077,8108,47024,-0.044543954748998305
