,total_days,buy_signals,sell_signals,bearish_smash_days,bullish_smash_days,signal_ratio
KODEX 레버리지,1477.0,23.0,28.0,263.0,296.0,0.034529451591062965
KODEX 코스닥150 레버리지,1477.0,11.0,8.0,261.0,271.0,0.012863913337846988
