date,etf,action,price,size,reason,return
2022-08-29,114800,BUY,4885,0.5,Smash Day Signal,
2022-08-30,122630,BUY,15100,0.5,Smash Day Signal,
2022-08-30,122630,SELL,15290,0.5,Bailout Exit,0.012582781456953684
2022-09-01,114800,SELL,4910,0.5,Bailout Exit,0.0051177072671442225
2022-09-08,233740,BUY,8215,0.5,Smash Day Signal,
2022-09-08,233740,SELL,8360,0.5,Bailout Exit,0.017650639074862973
2022-09-14,114800,BUY,4970,0.5,Smash Day Signal,
2022-09-14,251340,BUY,5015,0.5,Smash Day Signal,
2022-09-15,251340,SELL,5045,0.5,Bailout Exit,0.005982053838484491
2022-09-16,114800,SELL,5000,0.5,Bailout Exit,0.006036217303822866
2022-09-19,122630,BUY,14250,0.5,Smash Day Signal,
2022-09-21,122630,SELL,13825,0.5,Stop Loss,-0.029824561403508754
2022-10-14,233740,BUY,6200,0.5,Smash Day Signal,
2022-10-14,233740,SELL,6425,0.5,Bailout Exit,0.03629032258064524
2022-10-17,114800,BUY,5360,0.5,Smash Day Signal,
2022-10-18,114800,SELL,5225,0.5,Stop Loss,-0.025186567164179108
2022-11-10,114800,BUY,4890,0.5,Smash Day Signal,
2022-11-10,114800,SELL,4910,0.5,Bailout Exit,0.004089979550102152
2022-12-02,114800,BUY,4770,0.5,Smash Day Signal,
2022-12-02,114800,SELL,4860,0.5,Bailout Exit,0.018867924528301883
2023-02-09,251340,BUY,4920,0.5,Smash Day Signal,
2023-02-09,251340,SELL,4820,0.5,Stop Loss,-0.020325203252032575
2023-02-22,251340,BUY,4720,0.5,Smash Day Signal,
2023-02-22,251340,SELL,4760,0.5,Bailout Exit,0.008474576271186418
2023-02-28,122630,BUY,14795,0.5,Smash Day Signal,
2023-03-02,122630,SELL,14810,0.5,Bailout Exit,0.0010138560324433055
2023-03-23,114800,BUY,4885,0.5,Smash Day Signal,
2023-03-27,114800,SELL,4870,0.5,Time Exit,-0.0030706243602866
2023-04-13,114800,BUY,4610,0.5,Smash Day Signal,
2023-04-17,114800,SELL,4555,0.5,Time Exit,-0.01193058568329719
2023-05-16,233740,BUY,9630,0.5,Smash Day Signal,
2023-05-16,233740,SELL,9640,0.5,Bailout Exit,0.0010384215991692258
2023-08-25,114800,BUY,4680,0.5,Smash Day Signal,
2023-08-28,114800,SELL,4630,0.5,Time Exit,-0.010683760683760646
2023-10-13,114800,BUY,4725,0.5,Smash Day Signal,
2023-10-16,114800,SELL,4760,0.5,Bailout Exit,0.007407407407407307
2023-10-17,122630,BUY,15500,0.5,Smash Day Signal,
2023-10-17,122630,SELL,15645,0.5,Bailout Exit,0.009354838709677349
2023-10-19,114800,BUY,4745,0.5,Smash Day Signal,
2023-10-19,114800,SELL,4775,0.5,Bailout Exit,0.006322444678608985
2023-11-13,233740,BUY,9545,0.5,Smash Day Signal,
2023-11-13,233740,SELL,8950,0.5,Stop Loss,-0.06233630172865379
2023-11-22,114800,BUY,4605,0.5,Smash Day Signal,
2023-11-27,114800,SELL,4615,0.5,Bailout Exit,0.0021715526601520097
2023-12-08,122630,BUY,16165,0.5,Smash Day Signal,
2023-12-08,122630,SELL,16345,0.5,Bailout Exit,0.011135168574079701
2023-12-21,251340,BUY,3595,0.5,Smash Day Signal,
2023-12-22,251340,SELL,3630,0.5,Bailout Exit,0.009735744089012455
